District_Name,Crop,Season,Area,Crop_Year,Production,Predicted_Production,Predicted_Yield
ANANTAPUR,Groundnut,Kharif     ,755200.0,1998,867800.0,238435.03,0.3157243528204449
ANANTAPUR,Jowar,Kharif     ,3700.0,1998,5800.0,3580.1394,0.9676052444045609
ANANTAPUR,Maize,Kharif     ,3300.0,1998,6700.0,3225.287,0.9773597301136364
ANANTAPUR,Ragi,Kharif     ,7000.0,1998,14900.0,6563.5166,0.9376452287946428
ANANTAPUR,Rice,Kharif     ,38300.0,1998,96800.0,38127.855,0.9955053647193212
ANANTAPUR,Dry chillies,Rabi       ,200.0,1998,200.0,236.25867,1.1812933349609376
ANANTAPUR,Groundnut,Rabi       ,25900.0,1998,35800.0,24477.922,0.9450935086872587
ANANTAPUR,Jowar,Rabi       ,14800.0,1998,22100.0,15636.987,1.0565531962626689
ANANTAPUR,Maize,Rabi       ,300.0,1998,1600.0,366.59814,1.2219938151041667
ANANTAPUR,Ragi,Rabi       ,700.0,1998,1200.0,828.48584,1.1835511997767858
ANANTAPUR,Rice,Rabi       ,26600.0,1998,63900.0,24477.922,0.9202226268796992
ANANTAPUR,Wheat,Rabi       ,400.0,1998,200.0,448.989,1.1224725341796875
ANANTAPUR,Sugarcane,Whole Year ,700.0,1998,65900.0,845.4674,1.2078105817522322
ANANTAPUR,Tobacco,Whole Year ,100.0,1998,100.0,130.42204,1.3042204284667969
ANANTAPUR,Bajra,Kharif     ,1635.0,1999,889.0,1699.2026,1.0392676677178898
ANANTAPUR,Groundnut,Kharif     ,694865.0,1999,249457.0,238435.03,0.343138640239471
ANANTAPUR,Jowar,Kharif     ,11131.0,1999,14582.0,10760.929,0.9667530959426377
ANANTAPUR,Maize,Kharif     ,3358.0,1999,9540.0,3485.3455,1.0379230074402546
ANANTAPUR,Ragi,Kharif     ,6215.0,1999,11467.0,5957.0767,0.9584998648682622
ANANTAPUR,Rice,Kharif     ,37991.0,1999,105082.0,38127.855,1.0036023128833145
ANANTAPUR,Sesamum,Kharif     ,8.0,1999,2.0,7.0090947,0.876136839389801
ANANTAPUR,Urad,Kharif     ,4.0,1999,2.0,4.0461555,1.0115388631820679
ANANTAPUR,Bajra,Rabi       ,99.0,1999,54.0,123.59109,1.2483948216293796
ANANTAPUR,Groundnut,Rabi       ,21785.0,1999,25358.0,22597.568,1.037299442707138
ANANTAPUR,Jowar,Rabi       ,21487.0,1999,30576.0,21675.404,1.0087682923104668
ANANTAPUR,Maize,Rabi       ,455.0,1999,2203.0,566.6559,1.2453975467891483
ANANTAPUR,Ragi,Rabi       ,734.0,1999,1180.0,861.05646,1.1731014407623042
ANANTAPUR,Rice,Rabi       ,20258.0,1999,45669.0,19680.648,0.9715000709596209
ANANTAPUR,Sesamum,Rabi       ,10.0,1999,2.0,11.702384,1.1702383995056151
ANANTAPUR,Wheat,Rabi       ,439.0,1999,294.0,550.5506,1.2541015903064494
ANANTAPUR,Dry chillies,Whole Year ,5199.0,1999,5759.0,7803.5176,1.5009651044672052
ANANTAPUR,Onion,Whole Year ,1770.0,1999,32364.0,2690.2178,1.5198970471398305
ANANTAPUR,Sugarcane,Whole Year ,884.0,1999,83126.0,1172.8932,1.3268022494078762
ANANTAPUR,Bajra,Kharif     ,2477.0,2000,1449.0,2340.4,0.9448526049026039
ANANTAPUR,Dry chillies,Kharif     ,3755.0,2000,10146.0,3592.4827,0.9567197512691411
ANANTAPUR,Groundnut,Kharif     ,791559.0,2000,884963.0,238435.03,0.30122205830519266
ANANTAPUR,Jowar,Kharif     ,5071.0,2000,14351.0,4833.9097,0.9532458426284264
ANANTAPUR,Maize,Kharif     ,3475.0,2000,9049.0,3525.8142,1.0146227939523382
ANANTAPUR,Onion,Kharif     ,1103.0,2000,15470.0,1047.6443,0.9498134969259973
ANANTAPUR,Ragi,Kharif     ,6613.0,2000,16923.0,6102.498,0.9228032733819749
ANANTAPUR,Rice,Kharif     ,39905.0,2000,117680.0,38127.855,0.9554656175604561
ANANTAPUR,Sesamum,Kharif     ,5.0,2000,1.0,4.835856,0.9671711921691895
ANANTAPUR,Urad,Kharif     ,135.0,2000,8.0,131.05437,0.9707730893735532
ANANTAPUR,Bajra,Rabi       ,317.0,2000,185.0,391.762,1.2358422504990634
ANANTAPUR,Dry chillies,Rabi       ,71.0,2000,81.0,87.57968,1.2335166393871038
ANANTAPUR,Groundnut,Rabi       ,23048.0,2000,23832.0,23601.04,1.0239950999002083
ANANTAPUR,Jowar,Rabi       ,15242.0,2000,16980.0,15636.987,1.0259144013047827
ANANTAPUR,Maize,Rabi       ,399.0,2000,2148.0,448.72427,1.1246222398036105
ANANTAPUR,Onion,Rabi       ,482.0,2000,11514.0,577.57074,1.1982795430416884
ANANTAPUR,Ragi,Rabi       ,909.0,2000,1312.0,1120.876,1.2330868829070407
ANANTAPUR,Rice,Rabi       ,22099.0,2000,57236.0,22597.568,1.0225606751153897
ANANTAPUR,Urad,Rabi       ,363.0,2000,292.0,434.02432,1.1956592906605115
ANANTAPUR,Wheat,Rabi       ,520.0,2000,297.0,634.62,1.220423067533053
ANANTAPUR,Arecanut,Whole Year ,252.0,2000,696.0,313.11337,1.2425133841378349
ANANTAPUR,Banana,Whole Year ,769.0,2000,11693.0,986.6504,1.2830304169375812
ANANTAPUR,Coriander,Whole Year ,8953.0,2000,2266.0,13468.45,1.5043505188554116
ANANTAPUR,Sugarcane,Whole Year ,284.0,2000,25395.0,334.69577,1.1785062333227883
ANANTAPUR,Sweet potato,Whole Year ,28.0,2000,379.0,36.140007,1.2907145363943917
ANANTAPUR,Tobacco,Whole Year ,89.0,2000,114.0,122.75965,1.379321923416652
ANANTAPUR,Turmeric,Whole Year ,39.0,2000,272.0,48.125843,1.2339959755921974
ANANTAPUR,Bajra,Kharif     ,1595.0,2001,526.0,1556.1414,0.9756372146845611
ANANTAPUR,Dry chillies,Kharif     ,3765.0,2001,7127.0,3592.4827,0.9541786629523572
ANANTAPUR,Groundnut,Kharif     ,758700.0,2001,333828.0,238435.03,0.31426786773428234
ANANTAPUR,Jowar,Kharif     ,3900.0,2001,6720.0,3616.359,0.9272715094150641
ANANTAPUR,Maize,Kharif     ,2667.0,2001,7129.0,2599.5913,0.9747249001101425
ANANTAPUR,Onion,Kharif     ,1165.0,2001,19232.0,1203.533,1.0330755012741417
ANANTAPUR,Ragi,Kharif     ,5124.0,2001,12405.0,4833.9097,0.9433859617425351
ANANTAPUR,Rice,Kharif     ,32878.0,2001,95609.0,30372.412,0.9237913531654905
ANANTAPUR,Urad,Kharif     ,487.0,2001,176.0,485.46988,0.9968580680706173
ANANTAPUR,Bajra,Rabi       ,27.0,2001,9.0,33.91025,1.2559352450900607
ANANTAPUR,Dry chillies,Rabi       ,108.0,2001,168.0,132.33397,1.225314528853805
ANANTAPUR,Groundnut,Rabi       ,18773.0,2001,29192.0,18818.111,1.0024029898324722
ANANTAPUR,Jowar,Rabi       ,15170.0,2001,17446.0,15636.987,1.030783606109921
ANANTAPUR,Maize,Rabi       ,447.0,2001,2893.0,566.6559,1.2676865409151286
ANANTAPUR,Onion,Rabi       ,380.0,2001,8465.0,447.80832,1.1784429449784128
ANANTAPUR,Ragi,Rabi       ,544.0,2001,725.0,669.0255,1.2298263101016773
ANANTAPUR,Rice,Rabi       ,38119.0,2001,108906.0,40543.71,1.0636089860043547
ANANTAPUR,Sesamum,Rabi       ,2.0,2001,1.0,2.7788398,1.3894199132919312
ANANTAPUR,Urad,Rabi       ,127.0,2001,86.0,151.53958,1.1932250495970718
ANANTAPUR,Wheat,Rabi       ,307.0,2001,213.0,389.07285,1.2673382588240534
ANANTAPUR,Arecanut,Whole Year ,257.0,2001,430.0,313.11337,1.2183399719950754
ANANTAPUR,Banana,Whole Year ,1582.0,2001,462.0,2286.6624,1.445425002222266
ANANTAPUR,Coriander,Whole Year ,4741.0,2001,1119.0,6504.3945,1.3719456931554523
ANANTAPUR,Sugarcane,Whole Year ,490.0,2001,42470.0,572.74274,1.1688627281967474
ANANTAPUR,Sweet potato,Whole Year ,31.0,2001,411.0,39.00654,1.2582754319713962
ANANTAPUR,Tobacco,Whole Year ,111.0,2001,111.0,135.22267,1.2182222658449464
ANANTAPUR,Turmeric,Whole Year ,8.0,2001,40.0,10.872119,1.359014868736267
ANANTAPUR,Bajra,Kharif     ,1925.0,2002,581.0,1788.352,0.9290140523538961
ANANTAPUR,Dry chillies,Kharif     ,2737.0,2002,6128.0,2614.463,0.9552294083394227
ANANTAPUR,Groundnut,Kharif     ,732262.0,2002,259953.0,233402.66,0.31874200252095564
ANANTAPUR,Jowar,Kharif     ,2906.0,2002,4545.0,2753.5408,0.9475363976202253
ANANTAPUR,Maize,Kharif     ,3541.0,2002,3431.0,3479.5334,0.9826414705635766
ANANTAPUR,Onion,Kharif     ,776.0,2002,8432.0,764.48004,0.985154692659673
ANANTAPUR,Ragi,Kharif     ,5157.0,2002,12140.0,4770.458,0.9250451828218925
ANANTAPUR,Rice,Kharif     ,29066.0,2002,66329.0,27595.805,0.9494187259168788
ANANTAPUR,Urad,Kharif     ,32.0,2002,2.0,29.82219,0.931943416595459
ANANTAPUR,Bajra,Rabi       ,129.0,2002,39.0,160.02855,1.2405313891033793
ANANTAPUR,Dry chillies,Rabi       ,83.0,2002,161.0,100.72209,1.2135191768048756
ANANTAPUR,Groundnut,Rabi       ,17529.0,2002,18651.0,18398.08,1.0495795583390382
ANANTAPUR,Jowar,Rabi       ,12676.0,2002,11497.0,13950.626,1.1005542739478147
